# Of Incr,Address,Adj Est.Amt#1,Adj Est.Amt#2,Adj Est.Date#1,Adj Est.Date#2,Application #,Approval Ext. Date,Approved Date,Auto Fire Detection,City,Client's Notes,Climate Zone,Closed Date,Complete Submittal Received Date,Construction Change Document Amt,Contracted Amt,EPR Approved Date,Energy Efficiency,Energy Notes,Estimated Amt,File #,HPI,HPI Hours,HPI Points,Included In Plan,OPSC #,Office ID,PTN #,Project Class,Project Name,Project Scope,Project Type,Project's Sq.footage,Received Date,Required,Required review services,SB 575,Special Type,Special review type,Sprinkler System,Zip,adjamt1,adjamt2,adjdate1,adjdate2,app,app_id,appextdate,client_id,comprecvdate,county_id,district_code,district_name,dsa_app_id,enotes,finalprojectcost,mode,new,notes,origin_id,project_name,ptn,sq,table_0_address,table_0_project_name,table_0_project_scope,url
0,500 Blue Ravine Rd.,,,,,117631,,4/11/2019,,Folsom,,0,12/16/2019 2:39:55 PM,,$0.00,"$387,958.00",,,,"$450,000.00",34-19,,,,,,02,67330-239,Class 4,Folsom Middle School (folsom Cordova Unified School District),Relocation of 4-Classroom Buildings (Relocatable),School (K-12),,4/11/2019,,,,NA,,,95630,$0.00,$0.00,,,,117631,,34-19,,34,34-19,Folsom Cordova Unified School District,02  117631,,"$387,958.00",0,0,,02,Folsom Middle School (folsom Cordova Unified School District),67330-239,0,500 Blue Ravine Rd.,Folsom Middle School (folsom Cordova Unified School District),Relocation of 4-Classroom Buildings (Relocatable),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117631
0,500 Blue Ravine,,,,,116684,,6/6/2018,,Folsom,"1/30/19 - Invoice 02-8311 for $3,441.00 received and deposited by DGS/Fiscal services (AR)",0,1/31/2019 1:14:58 PM,,$0.00,"$622,000.00",,,,"$400,000.00",34-19,,,,,,02,67330-213,Class 3,Folsom Middle School (folsom Cordova Unified School District),Alterations to 1-Gymnasium Building/ HVAC upgrade,School (K-12),,4/18/2018,,,,NA,,,95630,$0.00,$0.00,,,,116684,,34-19,,34,34-19,Folsom Cordova Unified School District,02  116684,,"$622,000.00",0,0,"1/30/19 - Invoice 02-8311 for $3,441.00 received and deposited by DGS/Fiscal services (AR)",02,Folsom Middle School (folsom Cordova Unified School District),67330-213,0,500 Blue Ravine,Folsom Middle School (folsom Cordova Unified School District),Alterations to 1-Gymnasium Building/ HVAC upgrade,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116684
0,500 Blue Ravine Rd.,,,,,116773,,4/11/2018,,Folsom,,0,11/29/2018 11:40:56 AM,,$0.00,"$559,000.00",,,,"$475,000.00",34-19,,,,,,02,67330-220,Class 3,Folsom Middle School (folsom Cordova Unified School District),Alterations to 1-Classroom Building; Relocation of 6-Classroom Buildings (Relocatable),School (K-12),,4/11/2018,,,,NA,,,95630,$0.00,$0.00,,,,116773,,34-19,,34,34-19,Folsom Cordova Unified School District,02  116773,,"$559,000.00",0,0,,02,Folsom Middle School (folsom Cordova Unified School District),67330-220,0,500 Blue Ravine Rd.,Folsom Middle School (folsom Cordova Unified School District),Alterations to 1-Classroom Building; Relocation of 6-Classroom Buildings (Relocatable),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116773
0,500 Blue Ravine Rd.,,,,,116121,,9/13/2017,,Folsom,,0,5/2/2018 9:12:59 AM,,$0.00,$0.00,,,,"$27,788.37",34-19,,,,,,02,67330-204,Class 3,Folsom Middle School (folsom Cordova Unified School District),Construction of 1-Marquee Sign,School (K-12),,7/27/2017,,,,NA,,,95630,$0.00,$0.00,,,,116121,,34-19,,34,34-19,Folsom Cordova Unified School District,02  116121,,$0.00,0,0,,02,Folsom Middle School (folsom Cordova Unified School District),67330-204,0,500 Blue Ravine Rd.,Folsom Middle School (folsom Cordova Unified School District),Construction of 1-Marquee Sign,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116121
0,500 Blue Ravine Road,,,,,120008,,4/6/2022,,Folsom,"06/01/2023 check#96-382730 for $1487.12 paid.DGS/fiscal services received & deposited this check.(IA)
3/23/22 $1924.95 check received for fees -JB",0,6/1/2023 3:32:10 PM,,$0.00,"$218,024.00",,,,"$123,000.00",34-19,,,,,,02,67330-259,Class 2,Folsom Middle School (folsom Cordova Usd),Construction of 1-Shade Structure,School (K-12),,3/23/2022,,,,NA,,,95630,$0.00,$0.00,,,,120008,,34-19,,34,34-19,Folsom Cordova Unified School District,02  120008,,"$218,024.00",0,0,"06/01/2023 check#96-382730 for $1487.12 paid.DGS/fiscal services received & deposited this check.(IA)
3/23/22 $1924.95 check received for fees -JB",02,Folsom Middle School (folsom Cordova Usd),67330-259,0,500 Blue Ravine Road,Folsom Middle School (folsom Cordova Usd),Construction of 1-Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=120008
0,500 Blue Ravine Road,,,,,120391,,2/21/2023,,Folsom,"8/18/22 $60,600.00 check received -JB",0,2/21/2025 10:14:44 AM,,$0.00,"$6,860,320.00",,,,"$6,500,000.00",34-19,,,,,,02,67330-267,Class 2,Folsom Middle School (folsom Cordova Usd),"Alterations to 1-Administration Building, 21-Classroom Buildings (Relocatable), 1-Multi-purpose Building, 1-Gymnasium Building, 1-Classroom Building (2-story)",School (K-12),,8/22/2022,,,,NA,,,95630,$0.00,$0.00,,,,120391,,34-19,,34,34-19,Folsom Cordova Unified School District,02  120391,,"$6,860,320.00",0,0,"8/18/22 $60,600.00 check received -JB",02,Folsom Middle School (folsom Cordova Usd),67330-267,0,500 Blue Ravine Road,Folsom Middle School (folsom Cordova Usd),"Alterations to 1-Administration Building, 21-Classroom Buildings (Relocatable), 1-Multi-purpose Building, 1-Gymnasium Building, 1-Classroom Building (2-story)",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=120391
0,775 Russi Road,,,,,107876,,,,Folsom,**Re-exam Fee for $500.00 paid on 4/13/15(ch)**,0,4/15/2015 5:32:02 PM,,$0.00,"$15,000.00",,,,"$20,000.00",34-19,,,,,,02,67330-81,Class 3,Gallardo E.s. ( Folsom Cordova Usd ),Construction of one 20'x20' fabric/ steel shade structure,School (K-12),,2/14/2006,,,,NA,,,95630,$0.00,$0.00,,,,107876,,34-19,,34,34-19,Folsom Cordova Unified School District,02  107876,,"$15,000.00",0,0,**Re-exam Fee for $500.00 paid on 4/13/15(ch)**,02,Gallardo E.s. ( Folsom Cordova Usd ),67330-81,0,775 Russi Road,Gallardo E.s. ( Folsom Cordova Usd ),Construction of one 20'x20' fabric/ steel shade structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=107876
0,775 Russi Rd,,,,,107210,,5/11/2005,,Folsom,,,1/18/2007,,$0.00,"$219,477.69",,,,"$130,000.00",34-19,,,,,,02,67330-70,Class 4,Gallardo Elem (folsom Cordova Unified Sd),Construction of 2 - Relocatable C.R. Bldg/s (32x30),School (K-12),,5/10/2005,,,,NA,,,95630,,,,,,107210,,34-19,,34,34-19,Folsom Cordova Unified School District,02  107210,,"$219,477.69",,,,02,Gallardo Elem (folsom Cordova Unified Sd),67330-70,,775 Russi Rd,Gallardo Elem (folsom Cordova Unified Sd),Construction of 2 - Relocatable C.R. Bldg/s (32x30),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=107210
0,735 Halidon Way,,,,,109668,,2/25/2008,,Folsom,"The entire cost of the project was only $14,990.00 The cost to provide truncated domes to this parking would far exceed that amount. it is exempt under 1134B exception, for unreasonable hardship",,5/5/2009,,$0.00,"$14,990.00",,,,"$14,990.16",34-19,,,,,,02,67330-106,Class 4,Gold Ridge E.s. (folsom Cordova U.s.d.),Construction of 1 - Shade Structure/s,School (K-12),,2/25/2008,,,,NA,,,95630,,,,,,109668,,34-19,,34,34-19,Folsom Cordova Unified School District,02  109668,,"$14,990.00",,,"The entire cost of the project was only $14,990.00 The cost to provide truncated domes to this parking would far exceed that amount. it is exempt under 1134B exception, for unreasonable hardship",02,Gold Ridge E.s. (folsom Cordova U.s.d.),67330-106,,735 Halidon Way,Gold Ridge E.s. (folsom Cordova U.s.d.),Construction of 1 - Shade Structure/s,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=109668
0,735 Halidon Way,,,,,107524,,9/13/2005,,Folsom,Re-Exam fee paid $500.00 on 4/21/16(cs),0,4/28/2016 10:51:10 AM,,$0.00,"$28,105.00",,,,"$22,000.00",34-19,,,,,,02,67330-73,Class 3,Gold Ridge Elem (folsom Cordova Unified Sd),Construction of 2 - Shade Structure/s,School (K-12),,9/1/2005,,,,NA,,,95630,$0.00,$0.00,,,,107524,,34-19,,34,34-19,Folsom Cordova Unified School District,02  107524,,"$28,105.00",0,0,Re-Exam fee paid $500.00 on 4/21/16(cs),02,Gold Ridge Elem (folsom Cordova Unified Sd),67330-73,0,735 Halidon Way,Gold Ridge Elem (folsom Cordova Unified Sd),Construction of 2 - Shade Structure/s,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=107524
0,735 Halidon Way,,,,,105547,,9/4/2003,,Sacramento,,,8/2/2005,,$0.00,"$93,000.00",,,,"$93,000.00",34-19,,,,,,02,67330-33,Class 4,Gold Ridge Elem (folsom Cordova Usd),Construction of 2 - Relocatable C.R. Bldg/s,School (K-12),,7/10/2003,,,,NA,,,95630,,,,,,105547,,34-19,,34,34-19,Folsom Cordova Unified School District,02  105547,,"$93,000.00",,,,02,Gold Ridge Elem (folsom Cordova Usd),67330-33,,735 Halidon Way,Gold Ridge Elem (folsom Cordova Usd),Construction of 2 - Relocatable C.R. Bldg/s,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=105547
0,735 Halidon Way,,,,,105016,,,,Folsom,,,2/23/2010,,$0.00,$0.00,,,,"$3,000.00",34-19,,,,,,02,67330-19,Class 3,Gold Ridge Elem (folsom-Cordova Usd),Construction of ballwall,School (K-12),,1/10/2003,,,,NA,,,95630,,,,,,105016,,34-19,,34,34-19,Folsom Cordova Unified School District,02  105016,,$0.00,,,,02,Gold Ridge Elem (folsom-Cordova Usd),67330-19,,735 Halidon Way,Gold Ridge Elem (folsom-Cordova Usd),Construction of ballwall,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=105016
0,735 Halidon Way,,,,,113774,,6/26/2014,,Folsom,**Invoice #7017 for $1889.59 paid on 6/10/15(ch)*,0,6/10/2015 9:51:23 AM,,"$15,626.00","$441,839.00",,,,"$300,000.00",34-19,,,,,,02,67330-164,Class 3 & RBIP,Gold Ridge Elementary School (folsom Cordova Unified School District),Construction of 1-Classroom Building  (Relocatable),School (K-12),,6/26/2014,,,,NA,,,95630,$0.00,$0.00,,,,113774,,34-19,,34,34-19,Folsom Cordova Unified School District,02  113774,,"$457,465.00",0,0,**Invoice #7017 for $1889.59 paid on 6/10/15(ch)*,02,Gold Ridge Elementary School (folsom Cordova Unified School District),67330-164,0,735 Halidon Way,Gold Ridge Elementary School (folsom Cordova Unified School District),Construction of 1-Classroom Building  (Relocatable),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=113774
0,735 Halidon Way,,,,,121931,,3/7/2024,,Folsom,Check #96 389519 for $28500.00 rcvd on 12/12/23 (KW),0,2/13/2025 3:33:08 PM,,"$212,898.30","$2,452,798.00",,,,"$2,500,000.00",34-19,,,,,,02,67330-280,Class 3,Gold Ridge Elementary School (folsom Cordova Usd),"Alterations to 1-Administration Building Unit A, 1-Multi-purpose Building Unit B, 4-Classroom Buildings Units E, D, F, G, 1-Library Building Unit C",School (K-12),,12/13/2023,,,,NA,,,95630,$0.00,$0.00,,,,121931,,34-19,,34,34-19,Folsom Cordova Unified School District,02  121931,,"$2,665,696.30",0,0,Check #96 389519 for $28500.00 rcvd on 12/12/23 (KW),02,Gold Ridge Elementary School (folsom Cordova Usd),67330-280,0,735 Halidon Way,Gold Ridge Elementary School (folsom Cordova Usd),"Alterations to 1-Administration Building Unit A, 1-Multi-purpose Building Unit B, 4-Classroom Buildings Units E, D, F, G, 1-Library Building Unit C",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=121931
0,101 Dean Way,,,,,105603,,8/20/2003,,Folsom,CLOSE WITH CERTIFICATION 10/8/03 -- ND,,10/8/2003,,$0.00,"$267,612.00",,,,"$267,612.00",34-19,,,,,,02,67330-34,Class 4,Judah Elem (folsom Cordova Usd),Construction of (1) 47'X40' Family Clinic Bldg. Relocatable.,School (K-12),,7/31/2003,,,,NA,,,95630,,,,,,105603,,34-19,,34,34-19,Folsom Cordova Unified School District,02  105603,,$0.00,,,CLOSE WITH CERTIFICATION 10/8/03 -- ND,02,Judah Elem (folsom Cordova Usd),67330-34,,101 Dean Way,Judah Elem (folsom Cordova Usd),Construction of (1) 47'X40' Family Clinic Bldg. Relocatable.,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=105603
0,101 Dean Way,,,,,101094,,3/23/1999,,Folsom,project complete kpk 5-22-03fees may be due  Re-open fee PAID on 8/8/2005. DB,,8/26/2005 10:43:27 AM,,$0.00,"$22,645.24",,,,"$18,975.00",34-19,,,,,,02,,Class 1,Judah Elementary School,ALTERATIONS TO HCD CLSRM. BLDG. (RELOCATION),School (K-12),,3/17/1999,,,,NA,,,95630,,,,,,101094,,34-19,,34,34-19,Folsom Cordova Unified School District,02  101094,,"$22,645.24",,,project complete kpk 5-22-03fees may be due  Re-open fee PAID on 8/8/2005. DB,02,Judah Elementary School,,,101 Dean Way,Judah Elementary School,ALTERATIONS TO HCD CLSRM. BLDG. (RELOCATION),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=101094
0,101 Dean Way,,,,,122662,,7/9/2024,,Folsom,6/25/24 online payment $1565.00 (gl),0,,,"$1,333.00","$29,750.00",,,,"$50,000.00",34-19,,,,,,02,67330-287,Class 2,Judah Elementary School (folsom Cordova Unified School District),Construction of 1-Shade Structure,School (K-12),,7/1/2024,,,,NA,,,95630,"$100,000.00",$0.00,7/2/2024,,,122662,,34-19,7/1/2024,34,34-19,Folsom Cordova Unified School District,02  122662,,"$31,083.00",0,0,6/25/24 online payment $1565.00 (gl),02,Judah Elementary School (folsom Cordova Unified School District),67330-287,0,101 Dean Way,Judah Elementary School (folsom Cordova Unified School District),Construction of 1-Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=122662
0,4420 Monhegan Way,,,,,110491,,4/17/2009,,Mather,At backcheck client revised scope to remove relocation of 2 CR Bldgs and add alteration to Reloc CR Bldg P3 4/17/09 (si).; Invoice #4498 for $164.25 paid 1/26/10 (KU),,3/1/2010,,$0.00,"$1,287,376.00",,,,"$1,260,000.00",34-19,,,,,,02,67330-121,Class 2,Kitty Hawk School (folsom Cordova Unified School District),"Alterations to 4-Classroom Buildings, 2-Toilet Buildings, 1-Classroom Building  (Relocatable)",School (K-12),,12/26/2008,,,,NA,,,95655,,,,,,110491,,34-19,,34,34-19,Folsom Cordova Unified School District,02  110491,,"$1,287,376.00",,,At backcheck client revised scope to remove relocation of 2 CR Bldgs and add alteration to Reloc CR Bldg P3 4/17/09 (si).; Invoice #4498 for $164.25 paid 1/26/10 (KU),02,Kitty Hawk School (folsom Cordova Unified School District),67330-121,,4420 Monhegan Way,Kitty Hawk School (folsom Cordova Unified School District),"Alterations to 4-Classroom Buildings, 2-Toilet Buildings, 1-Classroom Building  (Relocatable)",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=110491
3,"""c"" And ""m"" Drive",,,,,117008,,12/11/2018,,Folsom,"Landscape fee of $500.00 received on 8/27/18; L02-501095(cs);Waiting for the DSA-1L(cs);DSA-1L received on 9/28/18;
Earlier Inc 2 submittal date of 8/28/18 approved by Sal Dutta 8/27/18 mf; DSA 1-REG for Inc 2 received 8/13/18, Inc 2 submittal date is 10/5/18.
10/2/19 Invoice 02-8666 for $148,871.12 paid(cs).",0,11/2/2022 11:38:31 AM,,"$534,501.24","$48,418,563.70",,,,"$36,000,000.00",34-19,,,,,,02,67330-225,Class 1 & RBIP,Mangini Ranch Elementary School (folsom Cordova Unified School District),"Construction of 1-Day Care Building (Relocatable), 1-Kindergarten Building, 1-Site Improvement, 1-Multi-Use/Admin/CR Building, 1-Covered Walkway",School (K-12),,8/27/2018,,,,NA,,,95630,$0.00,$0.00,,,,117008,,34-19,,34,34-19,Folsom Cordova Unified School District,02  117008,,"$50,492,400.94",0,0,"Landscape fee of $500.00 received on 8/27/18; L02-501095(cs);Waiting for the DSA-1L(cs);DSA-1L received on 9/28/18;
Earlier Inc 2 submittal date of 8/28/18 approved by Sal Dutta 8/27/18 mf; DSA 1-REG for Inc 2 received 8/13/18, Inc 2 submittal date is 10/5/18.
10/2/19 Invoice 02-8666 for $148,871.12 paid(cs).",02,Mangini Ranch Elementary School (folsom Cordova Unified School District),67330-225,0,"""c"" And ""m"" Drive",Mangini Ranch Elementary School (folsom Cordova Unified School District),"Construction of 1-Day Care Building (Relocatable), 1-Kindergarten Building, 1-Site Improvement, 1-Multi-Use/Admin/CR Building, 1-Covered Walkway",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=117008
0,4370 Mather Field Dr,,,,,107657,,10/24/2005,,Rancho Cordova,invoice #2980 for $1077.67 paid on 2/5/2007,,3/14/2007,,$0.00,"$219,741.00",,,,"$100,000.00",34-19,,,,,,02,67330-50,Class 4,Mather Heights Elem (folsom Cordova Unified Sd),Construction of 1 - Relocatable C.R. Bldg,School (K-12),,10/20/2005,,,,NA,,,95655,,,,,,107657,,34-19,,34,34-19,Folsom Cordova Unified School District,02  107657,,"$219,741.00",,,invoice #2980 for $1077.67 paid on 2/5/2007,02,Mather Heights Elem (folsom Cordova Unified Sd),67330-50,,4370 Mather Field Dr,Mather Heights Elem (folsom Cordova Unified Sd),Construction of 1 - Relocatable C.R. Bldg,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=107657
0,4370 Mather School Rd.,,,,,113258,,2/14/2014,,Mather,,0,1/16/2015 8:38:05 AM,,"$197,990.57","$2,075,754.00",,,,"$1,800,000.00",34-19,,,,,,02,67330-150,Class 3,Mather Heights Elementary School (folsom Cordova Unified School District),"Alterations to 1-Administration/Classroom Building, 2-Classroom Buildings, 1-Student Care Building, 1-Multi-purpose Building, 1-Kindergarten Building",School (K-12),,10/9/2013,,,,NA,,,95655,$0.00,$0.00,,,,113258,,34-19,,34,34-19,Folsom Cordova Unified School District,02  113258,,"$2,273,744.57",0,0,,02,Mather Heights Elementary School (folsom Cordova Unified School District),67330-150,0,4370 Mather School Rd.,Mather Heights Elementary School (folsom Cordova Unified School District),"Alterations to 1-Administration/Classroom Building, 2-Classroom Buildings, 1-Student Care Building, 1-Multi-purpose Building, 1-Kindergarten Building",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=113258
0,4370 School Road,,,,,113636,,4/30/2014,,Mather,,0,11/5/2014 11:17:52 AM,,"$20,475.00",$0.00,,,,"$18,000.00",34-19,,,,,,02,67330-163,Class 2,Mather Heights Elementary School (folsom Cordova Unified School District),Construction of 1-Shade Structure,School (K-12),,4/30/2014,,,,NA,,,95655,$0.00,$0.00,,,,113636,,34-19,,34,34-19,Folsom Cordova Unified School District,02  113636,,"$20,475.00",0,0,,02,Mather Heights Elementary School (folsom Cordova Unified School District),67330-163,0,4370 School Road,Mather Heights Elementary School (folsom Cordova Unified School District),Construction of 1-Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=113636
0,4370 School Road,,,,,115961,,6/7/2017,,Mather,"**Invoice #7567 for $1,481.81 paid 11/13/17 (AR)**",0,11/15/2017 9:51:01 AM,,"$21,787.00","$297,000.00",,,,"$220,000.00",34-19,,,,,,02,67330-198,Class 4,Mather Heights Elementary School (folsom Cordova Unified School District),Relocation of 1-Student Care Building (Relocatable),School (K-12),,6/6/2017,,,,NA,,,95655,$0.00,$0.00,,,,115961,,34-19,,34,34-19,Folsom Cordova Unified School District,02  115961,,"$318,787.00",0,0,"**Invoice #7567 for $1,481.81 paid 11/13/17 (AR)**",02,Mather Heights Elementary School (folsom Cordova Unified School District),67330-198,0,4370 School Road,Mather Heights Elementary School (folsom Cordova Unified School District),Relocation of 1-Student Care Building (Relocatable),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=115961
0,4370 Mather Field Drive,,,,,102106,,7/25/2000,,Rancho Cordova,fees due kpk 3-21-03,,7/11/2003,,"$232,267.00","$2,810,778.00",,,,"$1,450,000.00",34-19,,,,,57/67330-00-02,02,,Class 1,Mather Heights Elementary School (folsom Cordova Usd),"ALTERATION TO : ADMIN BLDG., M/P BLDG., & CR BLDG.",School (K-12),,4/5/2000,,,,NA,,,95655,,,,,,102106,,34-19,,34,34-19,Folsom Cordova Unified School District,02  102106,,"$3,043,045.00",,,fees due kpk 3-21-03,02,Mather Heights Elementary School (folsom Cordova Usd),,,4370 Mather Field Drive,Mather Heights Elementary School (folsom Cordova Usd),"ALTERATION TO : ADMIN BLDG., M/P BLDG., & CR BLDG.",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=102106
0,10439 Coloma Rd,,,,,106780,,4/11/2005,,Rancho Cordova,,,4/6/2007,,"($18,480.00)","$2,021,994.00",,,,"$2,200,000.00",34-19,,,,,,02,67330-63,Class 3,Mills Middle (folsom Cordova Unified Sd),"Alteration to 1 - Admin. Bldg, 1 - Library Bldg, 9 - C.R. Bldg/s",School (K-12),,12/7/2004,,,,NA,,,95670,,,,,,106780,,34-19,,34,34-19,Folsom Cordova Unified School District,02  106780,,"$2,003,514.00",,,,02,Mills Middle (folsom Cordova Unified Sd),67330-63,,10439 Coloma Rd,Mills Middle (folsom Cordova Unified Sd),"Alteration to 1 - Admin. Bldg, 1 - Library Bldg, 9 - C.R. Bldg/s",https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=106780
0,10439 Coloma Rd,,,,,106873,,3/23/2005,,Rancho Cordova,,,7/31/2007,,$0.00,"$16,335.00",,,,"$20,000.00",34-19,,,,,,02,67330-62,Class 2,Mills Middle (folsom Cordova Unified Sd),Construction of (1) - Shade Structure,School (K-12),,1/25/2005,,,,NA,,,95670,,,,,,106873,,34-19,,34,34-19,Folsom Cordova Unified School District,02  106873,,"$16,335.00",,,,02,Mills Middle (folsom Cordova Unified Sd),67330-62,,10439 Coloma Rd,Mills Middle (folsom Cordova Unified Sd),Construction of (1) - Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=106873
0,10439 Coloma Rd,,,,,106115,,12/8/2004,,Rancho Cordova,,,9/28/2006,,"$35,582.00","$681,000.00",,,,"$300,000.00",34-19,,,,,,02,67330-53,Class 3,Mills Middle (folsom Cordova Usd),Alteration to Kitchen,School (K-12),,3/17/2004,,,,NA,,,95670,,,,,,106115,,34-19,,34,34-19,Folsom Cordova Unified School District,02  106115,,"$716,582.00",,,,02,Mills Middle (folsom Cordova Usd),67330-53,,10439 Coloma Rd,Mills Middle (folsom Cordova Usd),Alteration to Kitchen,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=106115
0,10439 Coloma Road,,,,,111489,,6/29/2010,,Rancho Cordova,,0,12/2/2010 10:10:08 AM,,$0.00,"$21,255.00",,,,"$20,000.00",34-19,,,,,,02,67330-132,Class 3,Mills Middle School (folsom Cordova Unified School District),Construction of 1-Shade Structure,School (K-12),,6/29/2010,,,,NA,,,95670,,,,,,111489,,34-19,,34,34-19,Folsom Cordova Unified School District,02  111489,,"$21,255.00",0,0,,02,Mills Middle School (folsom Cordova Unified School District),67330-132,0,10439 Coloma Road,Mills Middle School (folsom Cordova Unified School District),Construction of 1-Shade Structure,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=111489
0,10439 Coloma Road,,,,,111139,,3/30/2010,,Rancho Cordova,"**Invoice #5021 for $9,293.83 paid on 06/03/2011 (aom)**",0,6/9/2011 12:52:45 PM,,"($149,616.00)","$5,971,935.00",,,,"$4,000,000.00",34-19,,,,,,02,67330-126,Class 2,Mills Middle School (folsom Cordova Unified School District),Alterations to 1-Administration Building; Construction of 1-Canopy,School (K-12),,12/21/2009,,,,NA,,,95670,,,,,,111139,,34-19,,34,34-19,Folsom Cordova Unified School District,02  111139,,"$5,822,319.00",0,0,"**Invoice #5021 for $9,293.83 paid on 06/03/2011 (aom)**",02,Mills Middle School (folsom Cordova Unified School District),67330-126,0,10439 Coloma Road,Mills Middle School (folsom Cordova Unified School District),Alterations to 1-Administration Building; Construction of 1-Canopy,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=111139
0,10439 Coloma Rd.,,,,,116610,,8/6/2018,,Rancho Cordova,**Landscape fee for $500.00 received 3/16/18; L02-500387 (AR)**,0,7/13/2020 9:46:08 AM,,"$92,008.32","$4,752,800.00",,,,"$4,330,769.00",34-19,,,,,,02,67330-217,Class 2,Mills Middle School (folsom Cordova Unified School District),Alterations to 1-Classroom Building; Construction of 1-Concession / Toilet Building,School (K-12),,3/16/2018,,,,NA,,,95670,$0.00,$0.00,,,,116610,,34-19,,34,34-19,Folsom Cordova Unified School District,02  116610,,"$4,844,808.32",0,0,**Landscape fee for $500.00 received 3/16/18; L02-500387 (AR)**,02,Mills Middle School (folsom Cordova Unified School District),67330-217,0,10439 Coloma Rd.,Mills Middle School (folsom Cordova Unified School District),Alterations to 1-Classroom Building; Construction of 1-Concession / Toilet Building,https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=116610
0,10439 Coloma Road,,,,,118649,,11/16/2020,,Rancho Cordova,"Pmnt of $852.50 rcvd 11/4/2020 DT. 
Approved as an SPOTC(cs).",0,,,$0.00,$0.00,,,,"$65,000.00",34-19,,,,,,02,67330-253,Class 3,Mills Middle School (folsom Cordova Unified School District),Alterations to 1-Multi-purpose Building (HVAC),School (K-12),,11/10/2020,,,,NA,,,95670,$0.00,$0.00,,,,118649,,34-19,,34,34-19,Folsom Cordova Unified School District,02  118649,,$0.00,0,0,"Pmnt of $852.50 rcvd 11/4/2020 DT. 
Approved as an SPOTC(cs).",02,Mills Middle School (folsom Cordova Unified School District),67330-253,0,10439 Coloma Road,Mills Middle School (folsom Cordova Unified School District),Alterations to 1-Multi-purpose Building (HVAC),https://www.apps2.dgs.ca.gov/dsa/tracker/ApplicationSummary.aspx?OriginId=02&AppId=118649
